"id","genre","artist_name","energy","mood_vec","track_name","valence"
"12Ns5IphkblPmHxpRILG9t","children","Chris Brown","0.691","[{""N"":""0.206""},{""N"":""0.691""}]","Don't Wake Me Up","0.206"
"35w6fQ0Wnuv7aIryRx7gTq","soul","Carla Thomas","0.301","[{""N"":""0.669""},{""N"":""0.301""}]","B-A-B-Y","0.669"
"5Rd588cbZ8HUooyMEhcJVC","tango","Julio Sosa","0.598","[{""N"":""0.683""},{""N"":""0.598""}]","La Cumparsita (with Leopoldo Federico y Su Orquesta)","0.683"
"0CAfXk7DXMnon4gLudAp7J","disco","Flo Rida","0.609","[{""N"":""0.304""},{""N"":""0.609""}]","Low (feat. T-Pain)","0.304"
"5RGHmrZCW2d4aBSfdrkiZJ","synth-pop","Lights","0.776","[{""N"":""0.57""},{""N"":""0.776""}]","Up We Go","0.57"
"58hVWAdmboee6unVH4GOjf","mpb","Ivan Lins","0.523","[{""N"":""0.33""},{""N"":""0.523""}]","X No Calendário","0.33"
"3wsZYuHJrk3lssa7V7jvye","sleep","The Civil Wars","0.186","[{""N"":""0.203""},{""N"":""0.186""}]","Poison & Wine","0.203"
"1b9EZ2m0UBZ2mqhPGp3mSD","iranian","Dariush","0.329","[{""N"":""0.338""},{""N"":""0.329""}]","Shahre Gham","0.338"
"1uMcxk66Bx2DmwRAZtbdBT","post-dubstep","Bonobo","0.929","[{""N"":""0.434""},{""N"":""0.929""}]","Eyesdown - Machinedrum Remix","0.434"
"28VwmnD29YNEMh6OwI2uLH","sleep","Yiruma","0.121","[{""N"":""0.12""},{""N"":""0.121""}]","May Be - Original","0.12"
"4rFPl0e4d2KjxByN9ctWs4","reggae","Skarra Mucci","0.729","[{""N"":""0.505""},{""N"":""0.729""}]","Bomboclaat","0.505"
"4UXQfgRTA76yNIYSGfoPey","j-idol","菜乃花 feat. ミオヤマザキ","0.97","[{""N"":""0.369""},{""N"":""0.97""}]","アイドル","0.369"
"52EM6pyrDFR5KBCA9081AJ","goth","Sisters of Mercy","0.714","[{""N"":""0.507""},{""N"":""0.714""}]","Possession (Remastered)","0.507"
"4QpPbie2onyJvDLgchbUfk","indian","Sanjay Leela Bhansali","0.556","[{""N"":""0.219""},{""N"":""0.556""}]","Ang Laga De","0.219"
"65pTKVkCu3MEXwAkCBOMGP","k-pop","Yiruma","0.283","[{""N"":""0.0754""},{""N"":""0.283""}]","사랑하기를 (Beloved) (By 정재욱)","0.0754"
"0jhukQEMC1yj47NetTlDBJ","indie-pop","Various Artists","0.69","[{""N"":""0.836""},{""N"":""0.69""}]","There Is a Light That Never Goes Out","0.836"
"3k3ohjGEdcl4VTco7HECIH","j-pop","Def Tech","0.75","[{""N"":""0.705""},{""N"":""0.75""}]","Catch The Wave","0.705"
"6lppv0IlPf4l11yR6wRleP","hardcore","Suicidal Tendencies","0.855","[{""N"":""0.591""},{""N"":""0.855""}]","Fascist Pig","0.591"
"1yjY7rpaAQvKwpdUliHx0d","emo","Paramore","0.923","[{""N"":""0.765""},{""N"":""0.923""}]","Still into You","0.765"
"5Ynq213GthZwY6ATkd8n18","songwriter","Peter Himmelman","0.724","[{""N"":""0.658""},{""N"":""0.724""}]","33k Feet","0.658"
"6IKh37gbbISnprWbmpFVDh","psych-rock","Pink Floyd","0.539","[{""N"":""0.424""},{""N"":""0.539""}]","See Emily Play - 2011 Remastered Version","0.424"
"2Pv7zg9cBPZvZuOrusG4bw","new-release","Panic! At The Disco","0.904","[{""N"":""0.651""},{""N"":""0.904""}]","Emperor's New Clothes","0.651"
"2RnY8eoqU9zeI3m8FcmVyQ","salsa","Daddy Yankee","0.857","[{""N"":""0.743""},{""N"":""0.857""}]","Ven Conmigo (feat. Prince Royce)","0.743"
